cell_id,elephant_count,inside_protected_area,dist_to_settlement_km,dist_to_road_km,elephant_score,settlement_proximity_score,road_proximity_score,conflict_risk_score,priority_zone,nearest_settlement
0,0.0,False,87.23536105106936,87.23536105106936,0.0,0.4696863969714289,0.46420298705652574,0.2801668152083864,False,Kilgoris
1,0.0,False,79.46330232563731,79.46330232563731,0.0,0.5179978535856613,0.5119504258028573,0.3089844838165556,False,Kilgoris
2,0.0,False,72.56200531463305,72.56200531463305,0.0,0.5608966173376724,0.5543483628159811,0.33457349404609604,False,Kilgoris
3,0.0,False,66.80189229405134,66.80189229405134,0.0,0.5967017315445827,0.5897354659424933,0.3559311592461228,False,Kilgoris
4,0.0,False,89.20246967916161,89.20246967916161,0.0,0.4574587637922575,0.4521181068406993,0.272873061189887,False,Kilgoris
5,0.0,False,80.09412460128989,80.09412460128989,0.0,0.5140766347583053,0.5080749857128355,0.30664548614134224,False,Kilgoris
6,0.0,False,71.55052057415205,71.55052057415205,0.0,0.567184050678314,0.5605623927654629,0.3383239330331331,False,Kilgoris
7,0.0,False,63.7989435117648,63.7989435117648,0.0,0.6153681923801748,0.6081840029525668,0.36706565859982243,False,Kilgoris
8,0.0,False,57.1625173693615,57.1625173693615,0.0,0.6566205072402187,0.6489547127378741,0.3916725659934278,False,Kilgoris
9,0.0,False,52.069392072385014,52.069392072385014,0.0,0.688279596615158,0.6802441942942885,0.41055713727283394,False,Kilgoris
10,0.0,False,49.00316101613188,49.00316101613188,0.0,0.7073394228306569,0.6990815042931792,0.4219262781371508,False,Kilgoris
11,0.0,False,93.79228633535473,93.79228633535473,0.0,0.428928262918999,0.4239206887059964,0.2558546854874986,False,Kilgoris
12,0.0,False,83.71714982486185,83.71714982486185,0.0,0.49155575167129073,0.48581702536407356,0.2932118331106093,False,Kilgoris
13,0.0,False,73.9361168413893,73.9361168413893,0.0,0.5523550800496468,0.5459065447247553,0.32947848743232067,False,Kilgoris
14,0.0,False,64.58295109677769,64.58295109677769,0.0,0.6104947669768593,0.6033674729359357,0.3641586719738385,False,Kilgoris
15,0.0,False,55.87294310445779,55.87294310445779,0.0,0.6646365572149651,0.6568771783801949,0.39645412067854796,False,Kilgoris
16,0.0,False,48.15634921730651,48.15634921730651,0.0,0.7126032419710735,0.7042838703486206,0.4250661336959082,False,Kilgoris
17,0.0,False,41.98454678479182,41.98454678479182,0.0,0.7509674355501015,0.7422001765696051,0.44795028363591194,False,Kilgoris
18,0.0,False,38.11548723956666,38.11548723956666,0.0,0.7750176787302488,0.7659696423145101,0.46229619631342767,False,Kilgoris
19,0.0,False,37.273295618911426,37.273295618911426,0.0,0.7802527786412952,0.7711436244266531,0.46541892092038445,False,Kilgoris
20,0.0,False,100.64663608469277,100.64663608469277,0.0,0.3863213253967259,0.3818111709624519,0.23043974890775332,False,Kilgoris
21,0.0,False,89.97162638270912,89.97162638270912,0.0,0.45267765211699595,0.4473928128244832,0.2700211394824437,False,Kilgoris
22,0.0,False,79.41323411582603,79.41323411582603,0.0,0.5183090797654295,0.5122580185354342,0.3091701294902591,False,Kilgoris
23,0.0,False,69.024995121479,69.024995121479,0.0,0.5828828272374388,0.5760778920834515,0.3476882157962671,False,Kilgoris
24,0.0,False,58.89701308475165,58.89701308475165,0.0,0.6458388060897318,0.6382988838446406,0.3852413069803117,False,Kilgoris
